-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Latitude  22.5472   Longitude 88.4361 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS
2021,1,1,15.83,9.2,12.52,14.98,15.12,23.99,8.87,7.2,67.38,0.02,101.54
2021,1,2,16.19,9.26,12.73,14.73,13.87,23.08,9.22,7.2,65.38,0.0,101.51
2021,1,3,17.95,10.44,14.19,15.98,14.34,24.93,10.58,7.81,63.44,0.0,101.34
2021,1,4,19.02,11.86,15.44,17.11,14.54,26.24,11.7,8.61,64.81,0.0,101.38
2021,1,5,19.71,13.94,16.83,18.11,14.11,26.8,12.69,9.89,70.94,0.11,101.39
2021,1,6,20.85,15.3,18.08,19.83,14.2,28.06,13.86,10.74,72.75,0.0,101.22
2021,1,7,22.52,15.12,18.82,21.34,14.48,29.6,15.12,10.68,65.62,0.0,101.08
2021,1,8,21.89,15.4,18.65,21.25,12.55,28.63,16.08,10.86,68.5,0.05,101.12
2021,1,9,21.76,14.97,18.36,20.96,12.73,28.05,15.31,10.56,67.31,0.0,101.12
2021,1,10,22.26,16.46,19.37,21.61,12.18,28.39,16.21,11.6,71.69,0.0,101.12
2021,1,11,21.89,17.33,19.61,21.86,10.77,28.06,17.29,12.27,77.06,0.0,101.25
2021,1,12,20.13,15.04,17.58,20.23,11.92,26.78,14.86,10.56,74.81,0.0,101.37
2021,1,13,18.64,13.27,15.95,19.07,12.73,25.46,12.73,9.4,73.19,0.0,101.4
2021,1,14,17.39,11.93,14.65,18.01,12.56,24.46,11.9,8.61,72.12,0.0,101.39
2021,1,15,16.31,9.65,12.98,16.31,13.57,23.67,10.1,7.45,67.69,0.0,101.27
2021,1,16,16.58,8.76,12.67,16.04,14.23,24.37,10.14,7.02,62.38,0.0,101.17
2021,1,17,16.14,9.94,13.04,16.07,13.73,23.73,10.01,7.57,69.31,0.0,101.44
2021,1,18,16.7,10.09,13.4,15.92,13.84,23.67,9.82,7.63,67.62,0.0,101.45
2021,1,19,18.08,12.05,15.07,17.21,13.22,25.07,11.85,8.79,69.62,0.0,101.22
2021,1,20,21.05,16.89,18.98,20.76,11.65,27.39,15.75,11.96,78.5,0.0,101.1
2021,1,21,18.81,9.88,14.34,18.61,14.26,26.64,12.38,7.63,60.94,0.0,101.23
2021,1,22,17.03,8.24,12.64,16.98,14.8,25.69,10.9,6.71,59.62,0.01,101.35
2021,1,23,17.32,8.28,12.8,16.44,13.05,24.54,11.49,6.77,57.75,0.0,101.28
2021,1,24,18.63,10.44,14.54,17.69,15.35,26.56,11.22,7.81,61.69,0.0,101.33
2021,1,25,19.02,12.67,15.85,19.24,15.07,27.19,12.12,9.09,69.12,0.0,101.42
2021,1,26,18.51,12.19,15.35,18.81,12.91,25.62,12.71,8.79,69.0,0.0,101.42
2021,1,27,17.39,9.72,13.55,17.56,14.13,25.18,11.05,7.45,63.81,0.0,101.5
2021,1,28,16.33,6.53,11.44,16.26,16.86,25.44,8.58,5.98,56.06,0.0,101.55
2021,1,29,17.8,7.53,12.66,16.9,16.45,26.05,9.6,6.47,53.5,0.02,101.48
2021,1,30,17.73,9.12,13.42,17.81,13.41,25.48,12.08,7.14,59.44,0.02,101.43
2021,1,31,15.39,3.7,9.55,15.34,16.03,24.15,8.12,4.94,49.44,0.0,101.65
2021,2,1,16.28,3.74,10.01,15.31,15.55,24.72,9.17,4.94,46.0,0.0,101.77
2021,2,2,16.76,4.8,10.78,15.69,17.17,25.35,8.17,5.31,48.19,0.0,101.69
2021,2,3,18.34,6.04,12.19,16.86,15.75,27.0,11.25,5.8,46.88,0.0,101.56
2021,2,4,18.74,7.16,12.95,17.95,16.99,27.85,10.86,6.29,50.12,0.0,101.51
2021,2,5,20.12,8.37,14.25,19.06,16.73,28.76,12.03,6.84,49.5,0.0,101.37
2021,2,6,20.13,9.74,14.94,20.15,16.75,28.91,12.16,7.51,54.75,0.04,101.28
2021,2,7,18.89,10.9,14.9,19.15,13.83,27.12,13.29,8.06,63.88,0.81,101.46
2021,2,8,18.39,7.21,12.8,18.53,16.7,27.37,10.67,6.29,52.06,0.0,101.5
2021,2,9,19.6,7.13,13.37,19.28,18.06,28.96,10.9,6.29,48.31,0.0,101.4
2021,2,10,21.06,8.52,14.79,20.33,16.73,29.86,13.13,6.96,48.12,0.0,101.2
2021,2,11,21.66,12.87,17.27,21.37,14.47,29.87,15.4,9.28,62.94,0.0,101.19
2021,2,12,22.09,11.53,16.81,21.56,16.68,30.4,13.73,8.48,56.94,0.0,101.28
2021,2,13,22.7,13.44,18.07,22.52,15.27,30.57,15.3,9.64,61.06,0.0,101.31
2021,2,14,22.48,13.25,17.87,22.62,14.93,30.36,15.43,9.52,62.0,0.0,101.26
2021,2,15,22.76,13.11,17.94,22.65,14.99,30.64,15.65,9.52,60.06,0.0,101.13
2021,2,16,23.54,11.44,17.48,22.94,16.66,31.67,15.01,8.48,51.12,0.0,101.11
2021,2,17,23.69,15.01,19.35,24.33,14.42,31.35,16.93,10.68,63.0,0.08,101.2
2021,2,18,24.35,12.11,18.23,24.78,15.4,32.41,17.01,8.73,49.19,0.01,101.39
2021,2,19,24.17,12.43,18.3,24.37,13.09,30.94,17.86,8.91,49.62,0.0,101.51
2021,2,20,23.86,11.84,17.85,24.06,10.77,29.86,19.08,8.54,48.5,0.0,101.57
2021,2,21,23.98,8.1,16.04,23.84,16.81,32.44,15.64,6.65,39.56,0.0,101.46
2021,2,22,23.9,7.58,15.74,23.49,17.16,32.19,15.03,6.47,37.62,0.0,101.34
2021,2,23,24.12,9.2,16.66,23.95,17.01,32.71,15.7,7.26,41.88,0.0,101.15
2021,2,24,24.77,12.47,18.62,25.01,16.93,33.58,16.65,9.16,53.44,0.0,100.97
2021,2,25,25.3,11.26,18.28,25.26,17.96,34.57,16.61,8.54,49.25,0.0,100.84
2021,2,26,26.43,12.77,19.6,26.38,17.99,35.83,17.84,9.64,52.06,0.0,100.63
2021,2,27,26.55,10.15,18.36,26.44,17.66,35.66,18.01,8.24,45.0,0.0,100.65
2021,2,28,27.15,13.02,20.08,27.69,18.54,36.71,18.17,9.7,51.38,0.0,100.76
2021,3,1,28.0,14.94,21.48,28.85,16.02,36.82,20.8,11.11,52.5,0.0,100.99
2021,3,2,27.44,10.92,19.19,27.6,15.7,35.76,20.06,8.3,39.81,0.0,101.09
2021,3,3,26.56,8.66,17.62,26.55,15.89,34.94,19.05,7.81,43.12,0.0,101.08
2021,3,4,25.84,10.0,17.92,25.87,17.77,35.12,17.34,8.0,44.38,0.0,101.08
2021,3,5,27.23,14.48,20.86,28.15,17.07,36.68,19.6,11.17,57.75,0.0,100.94
2021,3,6,27.54,12.78,20.15,28.12,16.98,36.69,19.71,9.52,47.06,0.0,100.91
2021,3,7,28.04,11.71,19.87,28.23,15.77,37.02,21.24,9.34,46.94,0.0,101.04
2021,3,8,27.31,12.9,20.11,28.33,17.66,36.72,19.05,9.7,50.06,0.0,101.14
2021,3,9,28.15,17.25,22.7,29.15,16.02,37.14,21.12,12.7,61.0,0.0,101.06
2021,3,10,28.82,18.63,23.73,30.08,13.91,36.82,22.9,13.61,60.94,0.12,101.07
2021,3,11,28.66,19.16,23.91,29.97,14.38,36.77,22.4,13.98,63.0,1.77,101.18
2021,3,12,28.9,16.69,22.8,29.82,14.73,36.59,21.87,12.15,55.25,0.06,101.3
2021,3,13,28.05,16.15,22.1,29.14,13.85,35.44,21.58,11.54,53.0,0.31,101.25
2021,3,14,28.13,13.12,20.63,29.01,15.8,35.92,20.12,9.46,44.31,0.0,101.08
2021,3,15,28.12,15.12,21.62,29.3,15.89,35.98,20.09,10.8,50.0,0.0,100.97
2021,3,16,28.97,12.75,20.86,29.65,16.74,37.26,20.52,9.64,45.44,0.0,100.94
2021,3,17,29.08,12.07,20.57,29.55,16.95,37.4,20.44,9.16,42.81,0.0,100.89
2021,3,18,29.24,12.69,20.97,29.71,16.88,37.8,20.92,9.52,43.25,0.0,100.87
2021,3,19,29.38,12.26,20.83,30.26,17.83,38.38,20.55,9.28,42.75,0.0,100.78
2021,3,20,29.69,13.19,21.44,30.52,14.39,37.46,23.07,9.7,41.38,0.0,100.63
2021,3,21,30.9,14.98,22.94,32.12,16.16,39.01,22.84,10.93,44.44,0.0,100.66
2021,3,22,31.76,15.49,23.62,32.67,16.54,39.9,23.36,11.35,45.06,0.0,100.9
2021,3,23,31.87,15.3,23.58,32.97,16.55,40.08,23.53,10.99,41.56,0.0,100.96
2021,3,24,32.02,16.55,24.29,33.12,13.66,39.4,25.74,11.84,43.69,0.0,100.85
2021,3,25,31.69,12.82,22.26,32.66,14.11,39.29,25.18,9.89,38.56,0.0,100.81
2021,3,26,30.89,14.51,22.7,32.09,15.38,38.77,23.39,10.56,41.75,0.0,100.81
2021,3,27,31.33,16.58,23.96,33.1,16.02,39.5,23.48,12.02,47.62,0.0,100.74
2021,3,28,30.88,17.23,24.05,32.77,15.23,38.77,23.54,12.51,50.25,0.0,100.62
2021,3,29,31.55,18.27,24.9,32.82,15.61,40.35,24.74,13.67,53.75,0.0,100.39
2021,3,30,32.44,17.43,24.93,33.69,17.71,42.49,24.78,13.67,54.06,0.0,99.97
2021,3,31,32.77,12.47,22.62,33.38,20.24,43.83,23.59,10.25,40.69,0.0,99.75
2021,4,1,31.4,12.73,22.07,32.69,18.5,41.51,23.01,10.8,46.31,0.0,100.04
2021,4,2,31.33,17.68,24.51,33.16,15.86,40.0,24.14,13.67,55.56,0.0,100.39
2021,4,3,31.36,17.88,24.62,33.62,16.7,39.99,23.3,13.43,54.38,0.0,100.6
2021,4,4,31.26,17.85,24.55,33.11,15.59,39.38,23.79,13.06,52.0,0.42,100.68
2021,4,5,30.68,16.56,23.62,32.47,14.11,38.19,24.08,12.15,49.44,5.01,100.85
2021,4,6,30.02,18.08,24.05,31.26,14.09,37.93,23.83,13.18,54.88,3.1,100.85
2021,4,7,30.17,20.57,25.37,31.58,13.73,37.88,24.15,15.2,61.5,0.0,100.84
2021,4,8,30.35,21.13,25.74,31.63,10.91,37.12,26.2,15.69,61.06,0.41,100.69
2021,4,9,30.24,20.53,25.38,31.5,10.84,36.86,26.01,15.2,59.5,0.62,100.73
2021,4,10,31.44,20.09,25.77,33.19,14.06,39.47,25.4,14.83,56.25,0.0,100.85
2021,4,11,32.41,18.87,25.64,34.51,16.09,41.06,24.97,13.92,52.12,0.06,100.94
2021,4,12,32.58,18.3,25.44,34.3,14.46,40.76,26.3,13.43,49.31,0.94,100.96
2021,4,13,32.61,17.19,24.9,34.4,16.39,41.3,24.9,12.7,48.0,0.0,100.85
2021,4,14,32.93,18.8,25.86,34.62,15.74,41.59,25.85,13.92,50.56,0.01,100.73
2021,4,15,31.84,18.81,25.33,32.91,12.66,39.33,26.66,14.16,52.75,0.0,100.58
2021,4,16,31.48,19.37,25.43,32.8,12.35,38.7,26.35,14.28,53.69,0.0,100.67
2021,4,17,31.23,18.8,25.01,33.19,15.07,39.89,24.83,13.85,54.75,1.07,100.81
2021,4,18,30.44,20.51,25.48,31.9,13.34,37.9,24.55,15.2,60.94,6.88,100.81
2021,4,19,31.33,17.26,24.3,33.01,15.4,40.06,24.65,13.18,53.69,0.85,100.57
2021,4,20,31.87,19.75,25.8,33.72,15.77,40.51,24.74,15.01,58.5,0.0,100.53
2021,4,21,32.31,21.32,26.82,33.98,14.91,40.84,25.93,16.11,59.12,1.41,100.65
2021,4,22,30.96,21.93,26.44,32.05,11.14,36.87,25.73,16.6,63.19,8.35,100.72
2021,4,23,31.45,18.58,25.01,32.95,14.3,39.14,24.84,13.73,52.88,0.15,100.71
2021,4,24,31.91,16.56,24.24,33.1,15.75,39.78,24.03,12.08,45.62,0.0,100.62
2021,4,25,32.79,18.54,25.66,34.51,17.02,41.9,24.88,13.98,52.75,0.0,100.53
2021,4,26,32.71,19.48,26.1,34.33,15.36,41.42,26.06,14.65,53.62,0.0,100.51
2021,4,27,32.38,20.19,26.29,34.05,14.12,40.57,26.46,15.26,55.69,0.0,100.59
2021,4,28,32.8,20.56,26.68,34.77,14.84,40.94,26.1,15.44,55.56,0.0,100.75
2021,4,29,30.51,21.52,26.01,31.54,8.61,35.3,26.69,16.17,61.62,0.0,100.81
2021,4,30,31.82,20.25,26.03,33.62,14.44,39.78,25.34,15.08,56.69,0.21,100.69
2021,5,1,32.57,19.51,26.04,34.55,14.13,40.55,26.42,14.47,52.5,1.49,100.69
2021,5,2,31.87,21.15,26.51,33.94,13.72,39.3,25.58,15.81,58.19,2.21,100.71
2021,5,3,30.51,22.08,26.29,31.56,11.16,37.14,25.98,16.72,64.69,12.96,100.62
2021,5,4,28.42,22.05,25.24,28.96,6.91,32.43,25.51,16.66,70.81,13.43,100.75
2021,5,5,29.14,21.15,25.15,30.41,10.54,34.77,24.24,15.69,65.06,2.65,100.76
2021,5,6,30.23,22.08,26.15,31.72,12.2,36.98,24.78,16.6,65.69,6.1,100.85
2021,5,7,30.81,22.6,26.71,32.07,11.78,37.46,25.68,17.15,65.69,6.53,100.91
2021,5,8,31.3,21.64,26.47,33.08,12.29,38.08,25.8,16.24,61.25,1.44,100.77
2021,5,9,30.93,22.6,26.76,32.52,11.15,37.07,25.92,17.15,64.38,5.37,100.66
